Platform,Sum of Likes,Sum of Post Day,Sum of Followers,Sum of Comments,Sum of Shares,Region,Sum of Reach,Sum of Post year,Sum of Post Month,Year,Quarter,Month,Day,Count of Post_ID,Platform Code,Content_Type,Sum of Engagement,Engagement Level,Reach Category
Facebook,3446,23,69674,1491,293,East,435906,2024,6,2024,Qtr 2,June,23,1,FB,Text,5230,Low,Low Reach
Facebook,6703,16,265109,872,262,East,335869,2024,7,2024,Qtr 3,July,16,1,FB,Text,7837,Low,Low Reach
Facebook,10640,23,279867,3469,753,East,165555,2024,7,2024,Qtr 3,July,23,1,FB,Image,14862,Medium,Low Reach
Facebook,19941,27,177447,3962,1255,East,783941,2024,7,2024,Qtr 3,July,27,1,FB,Image,25158,High,High Reach
Facebook,8597,10,494645,4844,2831,East,177464,2024,8,2024,Qtr 3,August,10,1,FB,Video,16272,Medium,Low Reach
Facebook,13999,11,70030,3606,1848,East,868616,2024,8,2024,Qtr 3,August,11,1,FB,Video,19453,Medium,High Reach
Facebook,3545,27,114544,1371,2720,East,685539,2024,8,2024,Qtr 3,August,27,1,FB,Video,7636,Low,High Reach
Facebook,14732,5,289464,4307,1946,East,278753,2024,9,2024,Qtr 3,September,5,1,FB,Text,20985,High,Low Reach
Facebook,11072,8,52867,1852,2075,East,534038,2024,9,2024,Qtr 3,September,8,1,FB,Video,14999,Medium,High Reach
Facebook,3256,29,191084,2107,1920,East,726043,2024,9,2024,Qtr 3,September,29,1,FB,Reel,7283,Low,High Reach
Facebook,17384,13,347706,3450,2811,East,690755,2024,11,2024,Qtr 4,November,13,1,FB,Text,23645,High,High Reach
Facebook,10842,4,257722,3566,1020,East,291413,2024,12,2024,Qtr 4,December,4,1,FB,Image,15428,Medium,Low Reach
Facebook,16209,19,441876,2850,207,East,360381,2024,12,2024,Qtr 4,December,19,1,FB,Text,19266,Medium,Low Reach
Facebook,7016,22,17809,3784,885,East,292867,2024,12,2024,Qtr 4,December,22,1,FB,Video,11685,Medium,Low Reach
Facebook,17852,13,236027,3117,759,East,97621,2025,1,2025,Qtr 1,January,13,1,FB,Image,21728,High,Low Reach
Facebook,17734,24,220432,1901,446,East,889676,2025,1,2025,Qtr 1,January,24,1,FB,Reel,20081,High,High Reach
Facebook,18996,6,128259,3103,1700,East,840313,2025,2,2025,Qtr 1,February,6,1,FB,Reel,23799,High,High Reach
Facebook,9699,8,431734,2451,2988,East,905481,2025,2,2025,Qtr 1,February,8,1,FB,Video,15138,Medium,High Reach
Facebook,3029,16,343493,2709,2990,East,30502,2025,2,2025,Qtr 1,February,16,1,FB,Text,8728,Low,Low Reach
Facebook,7469,18,480996,3955,631,East,47089,2025,2,2025,Qtr 1,February,18,1,FB,Image,12055,Medium,Low Reach
Facebook,11429,20,441522,4323,1730,East,563109,2025,3,2025,Qtr 1,March,20,1,FB,Reel,17482,Medium,High Reach
Facebook,173,22,412671,361,1509,East,24685,2025,4,2025,Qtr 2,April,22,1,FB,Image,2043,Low,Low Reach
Facebook,6761,26,402773,1788,737,East,892767,2025,4,2025,Qtr 2,April,26,1,FB,Image,9286,Low,High Reach
Facebook,16459,2,361045,3609,1889,East,317910,2025,5,2025,Qtr 2,May,2,1,FB,Text,21957,High,Low Reach
Facebook,17830,8,277614,3422,2200,East,224966,2025,5,2025,Qtr 2,May,8,1,FB,Text,23452,High,Low Reach
Facebook,17099,19,246959,1996,154,East,969640,2025,5,2025,Qtr 2,May,19,1,FB,Image,19249,Medium,High Reach
Facebook,19517,24,56943,4647,684,East,768875,2025,5,2025,Qtr 2,May,24,1,FB,Text,24848,High,High Reach
Facebook,15631,3,57759,4983,395,East,359036,2025,6,2025,Qtr 2,June,3,1,FB,Text,21009,High,Low Reach
Facebook,8938,7,173681,3276,334,East,346230,2025,8,2025,Qtr 3,August,7,1,FB,Image,12548,Medium,Low Reach
Facebook,15075,11,56528,2113,973,East,826388,2025,8,2025,Qtr 3,August,11,1,FB,Reel,18161,Medium,High Reach
Facebook,158,6,312910,1557,1072,East,394736,2025,9,2025,Qtr 3,September,6,1,FB,Reel,2787,Low,Low Reach
Facebook,2118,11,371721,230,2636,East,149311,2025,9,2025,Qtr 3,September,11,1,FB,Image,4984,Low,Low Reach
Facebook,19577,6,233044,4108,1375,East,505390,2025,11,2025,Qtr 4,November,6,1,FB,Reel,25060,High,High Reach
Facebook,9004,4,444857,2466,2622,East,442696,2025,12,2025,Qtr 4,December,4,1,FB,Reel,14092,Medium,Low Reach
Facebook,5464,14,239761,518,1678,East,905784,2026,1,2026,Qtr 1,January,14,1,FB,Video,7660,Low,High Reach
Facebook,6765,19,290277,4776,1340,East,644451,2026,1,2026,Qtr 1,January,19,1,FB,Image,12881,Medium,High Reach
Facebook,19924,12,50761,1630,1611,East,266327,2026,2,2026,Qtr 1,February,12,1,FB,Text,23165,High,Low Reach
Facebook,3700,1,21502,4102,820,East,290320,2026,3,2026,Qtr 1,March,1,1,FB,Image,8622,Low,Low Reach
Facebook,2101,4,340864,1742,126,East,491472,2026,3,2026,Qtr 1,March,4,1,FB,Reel,3969,Low,Low Reach
Facebook,16006,6,475583,3988,1082,East,874958,2026,3,2026,Qtr 1,March,6,1,FB,Video,21076,High,High Reach
Facebook,16360,18,129422,2601,881,East,698689,2026,4,2026,Qtr 2,April,18,1,FB,Reel,19842,Medium,High Reach
Facebook,6213,10,157023,3099,1087,East,886813,2026,5,2026,Qtr 2,May,10,1,FB,Text,10399,Medium,High Reach
Facebook,9104,30,445852,4205,284,East,265030,2026,5,2026,Qtr 2,May,30,1,FB,Text,13593,Medium,Low Reach
Facebook,6931,4,415043,2632,760,East,752384,2026,6,2026,Qtr 2,June,4,1,FB,Video,10323,Medium,High Reach
Facebook,3316,15,369512,3488,2923,East,334904,2026,6,2026,Qtr 2,June,15,1,FB,Image,9727,Low,Low Reach
Facebook,7456,22,210595,4063,1428,East,102716,2026,6,2026,Qtr 2,June,22,1,FB,Text,12947,Medium,Low Reach
Facebook,8284,25,7918,3325,415,East,650868,2026,7,2026,Qtr 3,July,25,1,FB,Image,12024,Medium,High Reach
Facebook,1678,31,10459,1482,2955,East,109389,2026,7,2026,Qtr 3,July,31,1,FB,Text,6115,Low,Low Reach
Facebook,10151,19,470939,2945,2731,East,668492,2026,8,2026,Qtr 3,August,19,1,FB,Reel,15827,Medium,High Reach
Facebook,1535,22,234060,2966,2902,East,746877,2026,8,2026,Qtr 3,August,22,1,FB,Image,7403,Low,High Reach
Facebook,15489,27,46881,2193,1665,East,306706,2026,8,2026,Qtr 3,August,27,1,FB,Reel,19347,Medium,Low Reach
Facebook,8310,6,9298,2014,1413,North,101058,2024,1,2024,Qtr 1,January,6,1,FB,Image,11737,Medium,Low Reach
Facebook,12710,8,134355,4657,1833,North,85897,2024,1,2024,Qtr 1,January,8,1,FB,Video,19200,Medium,Low Reach
Facebook,4608,18,314253,2399,1920,North,968748,2024,1,2024,Qtr 1,January,18,1,FB,Text,8927,Low,High Reach
Facebook,19739,10,371511,658,690,North,304327,2024,2,2024,Qtr 1,February,10,1,FB,Reel,21087,High,Low Reach
Facebook,688,11,44620,4526,2893,North,723817,2024,2,2024,Qtr 1,February,11,1,FB,Text,8107,Low,High Reach
Facebook,2191,12,331804,2986,62,North,850082,2024,2,2024,Qtr 1,February,12,1,FB,Image,5239,Low,High Reach
Facebook,8115,15,204360,4312,2895,North,183221,2024,2,2024,Qtr 1,February,15,1,FB,Text,15322,Medium,Low Reach
Facebook,9839,17,411009,3562,2276,North,565751,2024,3,2024,Qtr 1,March,17,1,FB,Reel,15677,Medium,High Reach
Facebook,8323,30,153494,4493,417,North,838929,2024,3,2024,Qtr 1,March,30,1,FB,Image,13233,Medium,High Reach
Facebook,9665,2,255353,4088,701,North,396843,2024,4,2024,Qtr 2,April,2,1,FB,Text,14454,Medium,Low Reach
Facebook,5021,5,25802,3523,1445,North,927890,2024,5,2024,Qtr 2,May,5,1,FB,Image,9989,Low,High Reach
Facebook,19953,20,439489,3653,1645,North,235327,2024,6,2024,Qtr 2,June,20,1,FB,Reel,25251,High,Low Reach
Facebook,180,6,323484,51,334,North,180668,2024,7,2024,Qtr 3,July,6,1,FB,Reel,565,Low,Low Reach
Facebook,7203,17,494906,835,1434,North,902389,2024,7,2024,Qtr 3,July,17,1,FB,Reel,9472,Low,High Reach
Facebook,9589,24,8621,4216,1016,North,343760,2024,7,2024,Qtr 3,July,24,1,FB,Reel,14821,Medium,Low Reach
Facebook,7029,25,235406,774,1800,North,382713,2024,7,2024,Qtr 3,July,25,1,FB,Video,9603,Low,Low Reach
Facebook,6867,2,301755,4210,2233,North,962408,2024,8,2024,Qtr 3,August,2,1,FB,Reel,13310,Medium,High Reach
Facebook,8188,1,352119,2295,238,North,486407,2024,9,2024,Qtr 3,September,1,1,FB,Reel,10721,Medium,Low Reach
Facebook,19304,3,81981,522,1719,North,573973,2024,9,2024,Qtr 3,September,3,1,FB,Image,21545,High,High Reach
Facebook,8722,16,24316,2818,1091,North,901786,2024,9,2024,Qtr 3,September,16,1,FB,Text,12631,Medium,High Reach
Facebook,489,23,383152,1427,402,North,577566,2024,9,2024,Qtr 3,September,23,1,FB,Text,2318,Low,High Reach
Facebook,7365,23,262339,1981,1941,North,542852,2024,10,2024,Qtr 4,October,23,1,FB,Text,11287,Medium,High Reach
Facebook,1811,28,473913,3772,1987,North,621640,2024,10,2024,Qtr 4,October,28,1,FB,Text,7570,Low,High Reach
Facebook,19315,28,394424,3619,1556,North,915264,2024,12,2024,Qtr 4,December,28,1,FB,Image,24490,High,High Reach
Facebook,13446,30,200628,919,2448,North,957833,2024,12,2024,Qtr 4,December,30,1,FB,Image,16813,Medium,High Reach
Facebook,4378,6,353496,332,2099,North,443285,2025,1,2025,Qtr 1,January,6,1,FB,Video,6809,Low,Low Reach
Facebook,15431,11,320940,4689,2228,North,769212,2025,3,2025,Qtr 1,March,11,1,FB,Reel,22348,High,High Reach
Facebook,16369,13,297169,4149,164,North,44761,2025,3,2025,Qtr 1,March,13,1,FB,Text,20682,High,Low Reach
Facebook,9291,23,304128,4066,2534,North,70484,2025,3,2025,Qtr 1,March,23,1,FB,Image,15891,Medium,Low Reach
Facebook,3967,15,359221,3677,445,North,444539,2025,4,2025,Qtr 2,April,15,1,FB,Text,8089,Low,Low Reach
Facebook,14482,28,409785,1397,1942,North,373487,2025,4,2025,Qtr 2,April,28,1,FB,Image,17821,Medium,Low Reach
Facebook,12871,1,303865,3954,640,North,2438,2025,6,2025,Qtr 2,June,1,1,FB,Video,17465,Medium,Low Reach
Facebook,1478,3,269059,4705,1057,North,903782,2025,7,2025,Qtr 3,July,3,1,FB,Video,7240,Low,High Reach
Facebook,17351,27,237562,2799,1059,North,925455,2025,7,2025,Qtr 3,July,27,1,FB,Video,21209,High,High Reach
Facebook,15485,16,369583,2533,2738,North,95597,2025,8,2025,Qtr 3,August,16,1,FB,Video,20756,High,Low Reach
Facebook,14117,1,450027,1648,1205,North,282490,2025,9,2025,Qtr 3,September,1,1,FB,Image,16970,Medium,Low Reach
Facebook,5032,3,301652,3483,997,North,877927,2025,9,2025,Qtr 3,September,3,1,FB,Text,9512,Low,High Reach
Facebook,5007,10,254213,3043,2967,North,852405,2025,9,2025,Qtr 3,September,10,1,FB,Reel,11017,Medium,High Reach
Facebook,17665,15,117841,53,1935,North,94685,2025,9,2025,Qtr 3,September,15,1,FB,Reel,19653,Medium,Low Reach
Facebook,10301,21,326296,165,739,North,795424,2025,9,2025,Qtr 3,September,21,1,FB,Reel,11205,Medium,High Reach
Facebook,4056,25,400637,3865,96,North,657195,2025,9,2025,Qtr 3,September,25,1,FB,Text,8017,Low,High Reach
Facebook,6073,14,74667,4612,225,North,445346,2025,10,2025,Qtr 4,October,14,1,FB,Image,10910,Medium,Low Reach
Facebook,11771,23,120786,3134,2149,North,750914,2025,10,2025,Qtr 4,October,23,1,FB,Video,17054,Medium,High Reach
Facebook,18131,9,179554,2501,690,North,616791,2025,11,2025,Qtr 4,November,9,1,FB,Video,21322,High,High Reach
Facebook,9803,26,323143,4328,870,North,116165,2025,11,2025,Qtr 4,November,26,1,FB,Text,15001,Medium,Low Reach
Facebook,7577,30,378928,789,1766,North,406972,2025,11,2025,Qtr 4,November,30,1,FB,Reel,10132,Medium,Low Reach
Facebook,15660,3,180258,3738,2692,North,779054,2025,12,2025,Qtr 4,December,3,1,FB,Reel,22090,High,High Reach
Facebook,3973,7,204557,120,560,North,604521,2025,12,2025,Qtr 4,December,7,1,FB,Image,4653,Low,High Reach
Facebook,2024,22,300378,4341,1088,North,262770,2025,12,2025,Qtr 4,December,22,1,FB,Image,7453,Low,Low Reach
Facebook,14230,27,344377,1914,2553,North,137739,2025,12,2025,Qtr 4,December,27,1,FB,Reel,18697,Medium,Low Reach
Facebook,7203,24,279156,1306,1128,North,218341,2026,2,2026,Qtr 1,February,24,1,FB,Reel,9637,Low,Low Reach
Facebook,13596,26,45641,2969,5,North,743965,2026,3,2026,Qtr 1,March,26,1,FB,Text,16570,Medium,High Reach
Facebook,768,27,394837,4489,640,North,761481,2026,3,2026,Qtr 1,March,27,1,FB,Text,5897,Low,High Reach
Facebook,16820,6,235092,3772,191,North,23159,2026,4,2026,Qtr 2,April,6,1,FB,Image,20783,High,Low Reach
Facebook,17830,12,79161,3070,318,North,83822,2026,4,2026,Qtr 2,April,12,1,FB,Text,21218,High,Low Reach
Facebook,3652,13,70928,2190,667,North,732537,2026,5,2026,Qtr 2,May,13,1,FB,Text,6509,Low,High Reach
Facebook,18956,19,382512,2504,1100,North,695530,2026,5,2026,Qtr 2,May,19,1,FB,Image,22560,High,High Reach
Facebook,6928,24,91019,3904,1228,North,904450,2026,5,2026,Qtr 2,May,24,1,FB,Text,12060,Medium,High Reach
Facebook,6296,29,38511,3044,2579,North,5847,2026,5,2026,Qtr 2,May,29,1,FB,Reel,11919,Medium,Low Reach
Facebook,17606,14,171743,4125,1045,North,983335,2026,6,2026,Qtr 2,June,14,1,FB,Image,22776,High,High Reach
Facebook,3939,17,108072,4822,2271,North,7834,2026,6,2026,Qtr 2,June,17,1,FB,Reel,11032,Medium,Low Reach
Facebook,13166,26,483399,4458,2034,North,882560,2026,6,2026,Qtr 2,June,26,1,FB,Video,19658,Medium,High Reach
Facebook,17943,7,491343,855,2291,North,340671,2026,8,2026,Qtr 3,August,7,1,FB,Text,21089,High,Low Reach
Facebook,5817,1,167933,1931,1476,North,707465,2026,9,2026,Qtr 3,September,1,1,FB,Video,9224,Low,High Reach
Facebook,5279,1,6605,1008,701,South,39142,2024,1,2024,Qtr 1,January,1,1,FB,Image,6988,Low,Low Reach
Facebook,9020,22,181593,35,2851,South,800467,2024,1,2024,Qtr 1,January,22,1,FB,Text,11906,Medium,High Reach
Facebook,15163,29,265860,2971,1621,South,659201,2024,1,2024,Qtr 1,January,29,1,FB,Text,19755,Medium,High Reach
Facebook,13287,18,397345,4715,2473,South,660885,2024,2,2024,Qtr 1,February,18,1,FB,Image,20475,High,High Reach
Facebook,10291,6,98196,3443,976,South,593736,2024,3,2024,Qtr 1,March,6,1,FB,Video,14710,Medium,High Reach
Facebook,13657,7,144804,1602,1612,South,274936,2024,3,2024,Qtr 1,March,7,1,FB,Reel,16871,Medium,Low Reach
Facebook,7628,11,73967,1542,1473,South,827823,2024,3,2024,Qtr 1,March,11,1,FB,Video,10643,Medium,High Reach
Facebook,3468,22,384845,418,189,South,619635,2024,4,2024,Qtr 2,April,22,1,FB,Text,4075,Low,High Reach
Facebook,9462,4,459723,1171,460,South,195624,2024,5,2024,Qtr 2,May,4,1,FB,Image,11093,Medium,Low Reach
Facebook,7987,18,384729,2117,132,South,404947,2024,5,2024,Qtr 2,May,18,1,FB,Reel,10236,Medium,Low Reach
Facebook,14502,28,375600,107,2156,South,148532,2024,7,2024,Qtr 3,July,28,1,FB,Video,16765,Medium,Low Reach
Facebook,12326,4,183690,3401,1261,South,666371,2024,8,2024,Qtr 3,August,4,1,FB,Video,16988,Medium,High Reach
Facebook,12446,8,389582,4767,392,South,627623,2024,8,2024,Qtr 3,August,8,1,FB,Video,17605,Medium,High Reach
Facebook,11037,18,221939,3321,2155,South,424795,2024,8,2024,Qtr 3,August,18,1,FB,Video,16513,Medium,Low Reach
Facebook,11752,11,428278,4224,2480,South,413708,2024,9,2024,Qtr 3,September,11,1,FB,Image,18456,Medium,Low Reach
Facebook,12036,27,303592,3734,207,South,195437,2024,9,2024,Qtr 3,September,27,1,FB,Text,15977,Medium,Low Reach
Facebook,19506,28,482001,4542,244,South,256062,2024,9,2024,Qtr 3,September,28,1,FB,Video,24292,High,Low Reach
Facebook,1207,6,20787,2788,289,South,777193,2024,10,2024,Qtr 4,October,6,1,FB,Video,4284,Low,High Reach
Facebook,11744,15,278391,2515,725,South,29714,2024,10,2024,Qtr 4,October,15,1,FB,Image,14984,Medium,Low Reach
Facebook,11756,13,150757,2016,2066,South,351250,2024,12,2024,Qtr 4,December,13,1,FB,Image,15838,Medium,Low Reach
Facebook,7785,11,382262,893,2287,South,844891,2025,2,2025,Qtr 1,February,11,1,FB,Reel,10965,Medium,High Reach
Facebook,47,13,389120,3510,2483,South,151377,2025,2,2025,Qtr 1,February,13,1,FB,Video,6040,Low,Low Reach
Facebook,14969,18,365200,3828,425,South,962098,2025,3,2025,Qtr 1,March,18,1,FB,Image,19222,Medium,High Reach
Facebook,2387,25,112325,4755,698,South,700021,2025,4,2025,Qtr 2,April,25,1,FB,Video,7840,Low,High Reach
Facebook,3179,16,396337,2727,566,South,397748,2025,5,2025,Qtr 2,May,16,1,FB,Text,6472,Low,Low Reach
Facebook,12808,18,145408,4518,655,South,245815,2025,5,2025,Qtr 2,May,18,1,FB,Text,17981,Medium,Low Reach
Facebook,13706,22,340798,1563,2437,South,124750,2025,5,2025,Qtr 2,May,22,1,FB,Reel,17706,Medium,Low Reach
Facebook,14509,22,344064,2548,1470,South,624646,2025,7,2025,Qtr 3,July,22,1,FB,Text,18527,Medium,High Reach
Facebook,15821,9,466207,546,2439,South,233910,2025,9,2025,Qtr 3,September,9,1,FB,Video,18806,Medium,Low Reach
Facebook,16277,20,23509,4938,66,South,186170,2025,9,2025,Qtr 3,September,20,1,FB,Video,21281,High,Low Reach
Facebook,12426,29,393653,814,414,South,278762,2025,9,2025,Qtr 3,September,29,1,FB,Reel,13654,Medium,Low Reach
Facebook,15464,24,165843,4040,378,South,268576,2025,11,2025,Qtr 4,November,24,1,FB,Text,19882,Medium,Low Reach
Facebook,829,8,90135,4210,1114,South,858029,2025,12,2025,Qtr 4,December,8,1,FB,Reel,6153,Low,High Reach
Facebook,10096,13,166783,1934,403,South,178957,2025,12,2025,Qtr 4,December,13,1,FB,Text,12433,Medium,Low Reach
Facebook,10738,17,185840,4241,1608,South,737833,2025,12,2025,Qtr 4,December,17,1,FB,Text,16587,Medium,High Reach
Facebook,16557,29,52178,1982,1277,South,997656,2025,12,2025,Qtr 4,December,29,1,FB,Video,19816,Medium,High Reach
Facebook,19459,30,183700,1796,2614,South,208515,2025,12,2025,Qtr 4,December,30,1,FB,Reel,23869,High,Low Reach
Facebook,1283,11,61524,3715,2566,South,904905,2026,1,2026,Qtr 1,January,11,1,FB,Reel,7564,Low,High Reach
Facebook,18831,23,329890,1142,1358,South,927595,2026,2,2026,Qtr 1,February,23,1,FB,Image,21331,High,High Reach
Facebook,7959,25,284301,2823,2155,South,702616,2026,3,2026,Qtr 1,March,25,1,FB,Reel,12937,Medium,High Reach
Facebook,5557,1,66101,1320,2243,South,929353,2026,4,2026,Qtr 2,April,1,1,FB,Image,9120,Low,High Reach
Facebook,7561,27,220624,1596,272,South,200838,2026,4,2026,Qtr 2,April,27,1,FB,Text,9429,Low,Low Reach
Facebook,15916,4,367558,3408,2929,South,745671,2026,5,2026,Qtr 2,May,4,1,FB,Reel,22253,High,High Reach
Facebook,15022,17,323728,1547,1485,South,791765,2026,5,2026,Qtr 2,May,17,1,FB,Text,18054,Medium,High Reach
Facebook,4769,7,426358,2578,1930,South,891565,2026,6,2026,Qtr 2,June,7,1,FB,Image,9277,Low,High Reach
Facebook,2342,9,284069,275,482,South,881931,2026,6,2026,Qtr 2,June,9,1,FB,Reel,3099,Low,High Reach
Facebook,15638,18,145528,3795,357,South,950186,2026,6,2026,Qtr 2,June,18,1,FB,Image,19790,Medium,High Reach
Facebook,17121,19,495839,2699,452,South,486967,2026,6,2026,Qtr 2,June,19,1,FB,Video,20272,High,Low Reach
Facebook,19063,30,465751,2343,1746,South,47968,2026,6,2026,Qtr 2,June,30,1,FB,Image,23152,High,Low Reach
Facebook,9228,1,486329,2392,1920,South,680908,2026,7,2026,Qtr 3,July,1,1,FB,Video,13540,Medium,High Reach
Facebook,18774,15,339522,563,149,South,567058,2026,7,2026,Qtr 3,July,15,1,FB,Reel,19486,Medium,High Reach
Facebook,9682,16,48735,4846,808,South,250272,2026,7,2026,Qtr 3,July,16,1,FB,Image,15336,Medium,Low Reach
Facebook,12687,28,81235,495,2425,South,142944,2026,7,2026,Qtr 3,July,28,1,FB,Image,15607,Medium,Low Reach
Facebook,2287,10,103546,434,1014,South,25264,2026,8,2026,Qtr 3,August,10,1,FB,Text,3735,Low,Low Reach
Facebook,17374,15,193977,4020,2197,South,613764,2026,8,2026,Qtr 3,August,15,1,FB,Reel,23591,High,High Reach
Facebook,4629,16,6412,819,238,South,605383,2026,8,2026,Qtr 3,August,16,1,FB,Image,5686,Low,High Reach
Facebook,17628,13,147188,1019,2124,South,298726,2026,9,2026,Qtr 3,September,13,1,FB,Image,20771,High,Low Reach
Facebook,3889,12,198807,2719,1566,West,448064,2024,1,2024,Qtr 1,January,12,1,FB,Reel,8174,Low,Low Reach
Facebook,4672,17,36557,1505,450,West,925996,2024,2,2024,Qtr 1,February,17,1,FB,Video,6627,Low,High Reach
Facebook,18051,21,257858,64,1401,West,583613,2024,2,2024,Qtr 1,February,21,1,FB,Video,19516,Medium,High Reach
Facebook,7078,5,219917,4065,1572,West,940410,2024,3,2024,Qtr 1,March,5,1,FB,Text,12715,Medium,High Reach
Facebook,18079,19,363736,2044,2268,West,995194,2024,3,2024,Qtr 1,March,19,1,FB,Reel,22391,High,High Reach
Facebook,2240,10,391574,3041,2022,West,428043,2024,4,2024,Qtr 2,April,10,1,FB,Video,7303,Low,Low Reach
Facebook,3159,11,426330,1481,585,West,765592,2024,4,2024,Qtr 2,April,11,1,FB,Reel,5225,Low,High Reach
Facebook,13402,3,83680,2087,2086,West,10833,2024,5,2024,Qtr 2,May,3,1,FB,Reel,17575,Medium,Low Reach
Facebook,8579,31,285470,482,2415,West,736559,2024,5,2024,Qtr 2,May,31,1,FB,Reel,11476,Medium,High Reach
Facebook,4149,2,492254,1192,625,West,428227,2024,6,2024,Qtr 2,June,2,1,FB,Reel,5966,Low,Low Reach
Facebook,9349,27,269707,2748,2135,West,986680,2024,6,2024,Qtr 2,June,27,1,FB,Text,14232,Medium,High Reach
Facebook,9558,5,76737,2515,1999,West,475647,2024,8,2024,Qtr 3,August,5,1,FB,Text,14072,Medium,Low Reach
Facebook,10050,13,274941,3936,677,West,314159,2024,8,2024,Qtr 3,August,13,1,FB,Video,14663,Medium,Low Reach
Facebook,13399,24,65897,4753,2609,West,297636,2024,8,2024,Qtr 3,August,24,1,FB,Text,20761,High,Low Reach
Facebook,4263,28,406465,4574,322,West,369905,2024,8,2024,Qtr 3,August,28,1,FB,Image,9159,Low,Low Reach
Facebook,15469,30,53698,1301,2028,West,334373,2024,8,2024,Qtr 3,August,30,1,FB,Reel,18798,Medium,Low Reach
Facebook,7402,6,84579,4526,2744,West,970312,2024,9,2024,Qtr 3,September,6,1,FB,Image,14672,Medium,High Reach
Facebook,5788,20,379171,1010,629,West,211488,2024,10,2024,Qtr 4,October,20,1,FB,Text,7427,Low,Low Reach
Facebook,3457,26,125347,1775,2187,West,808470,2024,11,2024,Qtr 4,November,26,1,FB,Video,7419,Low,High Reach
Facebook,7581,1,98074,315,881,West,14286,2024,12,2024,Qtr 4,December,1,1,FB,Text,8777,Low,Low Reach
Facebook,13324,26,439839,1441,453,West,722235,2024,12,2024,Qtr 4,December,26,1,FB,Text,15218,Medium,High Reach
Facebook,12685,9,344449,2132,2991,West,68441,2025,2,2025,Qtr 1,February,9,1,FB,Video,17808,Medium,Low Reach
Facebook,14408,3,34980,3834,652,West,985384,2025,3,2025,Qtr 1,March,3,1,FB,Video,18894,Medium,High Reach
Facebook,18521,10,463165,898,1176,West,907415,2025,3,2025,Qtr 1,March,10,1,FB,Video,20595,High,High Reach
Facebook,7586,17,309797,2635,2622,West,752039,2025,3,2025,Qtr 1,March,17,1,FB,Reel,12843,Medium,High Reach
Facebook,17499,13,7263,1286,2663,West,1171,2025,4,2025,Qtr 2,April,13,1,FB,Video,21448,High,Low Reach
Facebook,18986,27,176705,2557,1173,West,814697,2025,4,2025,Qtr 2,April,27,1,FB,Reel,22716,High,High Reach
Facebook,17914,30,97410,3517,1843,West,754358,2025,4,2025,Qtr 2,April,30,1,FB,Reel,23274,High,High Reach
Facebook,16925,21,495860,4305,1688,West,738595,2025,5,2025,Qtr 2,May,21,1,FB,Image,22918,High,High Reach
Facebook,8885,2,290553,4307,1012,West,841578,2025,6,2025,Qtr 2,June,2,1,FB,Reel,14204,Medium,High Reach
Facebook,5272,8,112833,1552,60,West,292621,2025,6,2025,Qtr 2,June,8,1,FB,Video,6884,Low,Low Reach
Facebook,19730,14,173436,626,1360,West,832109,2025,6,2025,Qtr 2,June,14,1,FB,Video,21716,High,High Reach
Facebook,7522,18,342512,1644,2194,West,995604,2025,6,2025,Qtr 2,June,18,1,FB,Image,11360,Medium,High Reach
Facebook,6563,28,438109,3194,238,West,552630,2025,6,2025,Qtr 2,June,28,1,FB,Reel,9995,Low,High Reach
